sample_name	fa	ab1
VR-18-c1	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-18-c1_pFC9_t7_primer_1__2021-09-09_A08.seq	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-18-c1_pFC9_t7_primer_1__2021-09-09_A08.ab1
VR-18-c2	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-18-c2_pFC9_t7_primer_1__2021-09-09_B08.seq	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-18-c2_pFC9_t7_primer_1__2021-09-09_B08.ab1
VR-18-c3	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-18-c3_pFC9_t7_primer_1__2021-09-09_C08.seq	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-18-c3_pFC9_t7_primer_1__2021-09-09_C08.ab1
VR-18-c4	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-18-c4_pFC9_t7_primer_1__2021-09-09_D08.seq	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-18-c4_pFC9_t7_primer_1__2021-09-09_D08.ab1
VR-18-c5	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-18-c5_pFC9_t7_primer_1__2021-09-09_E08.seq	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-18-c5_pFC9_t7_primer_1__2021-09-09_E08.ab1
VR-28-c1	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-28-c1_pFC9_t7_primer_1__2021-09-09_F08.seq	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-28-c1_pFC9_t7_primer_1__2021-09-09_F08.ab1
VR-28-c2	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-28-c2_pFC9_t7_primer_1__2021-09-09_G08.seq	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-28-c2_pFC9_t7_primer_1__2021-09-09_G08.ab1
VR-28-c3	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-28-c3_pFC9_t7_primer_1__2021-09-09_H08.seq	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-28-c3_pFC9_t7_primer_1__2021-09-09_H08.ab1
VR-28-c4	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-28-c4_pFC9_t7_primer_1__2021-09-09_A09.seq	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-28-c4_pFC9_t7_primer_1__2021-09-09_A09.ab1
VR-28-c5	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-28-c5_pFC9_t7_primer_1__2021-09-09_B09.seq	config/runs/2021-09-08/2021-09-08_718616_130254_data/VR-28-c5_pFC9_t7_primer_1__2021-09-09_B09.ab1
